, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
37, 11806.938164530362, 13733.205013207222, 11882.832471220176, 15817.986673574229, 10665.006966995972, 16230.308439357244, 60066.10147018696,
38, 11616.422840366959, 13652.411102453014, 11894.84628847078, 16659.78954622942, 10846.777220940503, 16013.584926067788, 58111.99562246401,
39, 11653.005362587417, 13799.166116532873, 12322.397915044001, 16524.825804117125, 10762.972194506743, 15842.055961872544, 62043.89384789862,
40, 11814.745825528555, 14217.554988813918, 12347.558239796166, 15685.597089455148, 11075.06074861527, 17695.33665582442, 61763.715178786915,
41, 11867.238784564503, 14577.558129285628, 12463.125570796405, 16418.413069563285, 10950.932986418582, 17252.293670282168, 62593.333088331696,
42, 11667.953623632533, 13849.927264053968, 12559.778503708076, 16350.48469991688, 11317.668542512107, 17663.26840781794, 63134.51276685945,
43, 12129.035061292896, 14599.188181200307, 13279.261375177619, 17086.138599345908, 11840.60908481979, 17706.107892153894, 64003.17100664273,
44, 11828.791195195685, 13893.12740908698, 13279.869483717059, 17521.19938904121, 11750.052772737605, 18240.15626528804, 63890.48819972658,
45, 11661.708240937132, 14731.88041627865, 13040.054825660367, 17092.05352081646, 11097.238074221936, 18266.926580931788, 62317.20647777578,
46, 11609.642127009765, 14978.005693729985, 13361.77716785598, 17624.98084204774, 12011.173965295278, 18536.939445287462, 62561.274764336435,
47, 11334.30474797825, 15152.866748862569, 13587.016729532985, 17441.56678587464, 11844.858581202938, 18846.26526841892, 65448.980564983074,
48, 11275.893251183415, 15294.155166706303, 13679.666653660028, 18820.90945755351, 11890.315642460879, 19367.5319479971, 65322.60156110304,
49, 11872.424709723806, 15736.548685530786, 13874.918768644196, 18744.822496343644, 11684.759714834481, 19750.892711009757, 66327.73448388885,
50, 11840.04133416595, 16232.709841351952, 13554.510706043842, 18493.99789733228, 12178.925027823298, 19910.351031569076, 66182.10864777444,
51, 11500.53073018649, 16064.432961525814, 13750.261584375208, 18539.02185132374, 12243.221710887781, 19145.40397273777, 65749.00804838321,
52, 11623.451712568858, 16548.97399850759, 13962.50488578712, 18525.046663127578, 13250.210367671607, 20015.473394173438, 66849.76917622762,
