, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
87, 4.004096132876112, -7.089677015935645, -9.370696437051453, 3.4586940002643054, -7.041344763732835, 1.3727533849129594, 8.086415516711117,
88, 3.2811519647368703, -6.557095809991679, -9.339207188203009, 2.4625296442687747, -7.181617456197275, 2.495150153301414, 8.058411557491922,
89, 3.6078472740541705, -6.815899032606485, -9.303753953793478, 3.1407807259469847, -7.297729559235393, 2.1229675302745212, 8.198743217893696,
90, 3.2095339845339845, -6.735802398714337, -9.298083578370521, 2.5940861866282576, -7.2975076628627225, 2.4163793889648884, 8.301719523159571,
91, 3.1376999388121534, -7.159249779756109, -9.325576504431657, 2.874464060663186, -7.333413042356705, 1.7806327286051116, 8.26468352120601,
92, 3.950053330390967, -7.3427191764075515, -9.3187692509044, 2.938648557732739, -6.824843499626108, 2.3428627549124443, 8.315354069741804,
93, 3.7984196602617653, -7.120398613829387, -9.331472239574834, 3.3505965753553966, -6.860045984118533, 2.6862136158811345, 8.337089962955682,
94, 3.7152749780211005, -7.6298618184496245, -9.289756821162857, 2.936082600629184, -6.799932511140812, 2.385010320145722, 8.458052628600582,
95, 2.923287779758368, -7.682028980303286, -9.3204635542474, 2.7133222938298127, -6.5310879011044705, 2.6218849185064093, 8.286325745315926,
96, 3.0875171997604705, -7.4573284825206, -9.359560023172895, 2.252111111111111, -6.205436131775943, 2.8720002800434066, 8.406898849607183,
97, 3.45068740139734, -7.466223283269405, -9.323186096627882, 2.8017668997669, -6.13080423778927, 2.3284946977676246, 8.346626861042184,
98, 2.726461961670605, -7.82673009719648, -9.449539848405493, 2.945943436356017, -5.608075832213763, 2.339335970046933, 8.419642211882168,
99, 3.8769535070396253, -7.933178757554648, -9.371250904781201, 3.1114771957602145, -5.9817409257688485, 2.488081557574674, 8.339417999715279,
100, 3.5600991801270183, -8.272946653406851, -9.371310143883203, 3.25753033014876, -6.0242837846964274, 2.3939680416202154, 8.564489674553327,
101, 3.986883525279752, -8.144611410879524, -9.367717843448663, 3.354476053974608, -5.949420094099638, 2.475199977665485, 8.348093045125008,
102, 3.7462968862835053, -8.18013748354449, -9.310955001365318, 2.6697404139998846, -5.740160299470644, 2.5052991337986716, 8.529728864900454,
103, 3.114842268144155, -8.188378961845764, -9.345456250650516, 2.8994711658105343, -5.826093251616291, 2.256498834498834, 8.45656241839615,
104, 3.2013131313131318, -8.287908074224239, -9.376842919718596, 3.376857818892996, -5.9582364683726965, 2.6745805626598464, 8.208530208932293,
105, 3.474515562511659, -8.071606732701692, -9.323290835785116, 3.292277552944119, -5.84572904707233, 2.4007087516503067, 8.557420769666098,
106, 3.5562474562474558, -8.206333541406575, -9.415096641349688, 3.22848594926955, -5.710698914611958, 2.3756829352399493, 8.388186457083938,
107, 3.516504098205465, -8.3884989007881, -9.441329802123736, 3.108236434108527, -5.617689005403495, 2.7396083364163273, 8.37010923010923,
108, 3.901557191618373, -8.451157212028054, -9.37162559499989, 3.0650832686395, -5.976046796464796, 2.423236540434453, 8.44306537588555,
109, 3.6072092849679054, -8.630510732885947, -9.383990646284213, 3.164833333333333, -5.538094855944432, 2.2592995790192285, 8.696592754808844,
110, 3.473600542406106, -8.661051256668319, -9.46209696223988, 2.723181818181818, -5.366395714793427, 3.3358110516934047, 8.258625188625189,
111, 3.450620348174828, -8.702538230345317, -9.389469873790961, 3.3332380952380953, -5.345345572482339, 3.2949787280879717, 8.289699007731794,
112, 4.12739092450794, -8.873568252268042, -9.384487655029549, 3.661867494824017, -5.855455655455655, 2.1447888246207576, 8.385566395969622,
113, 3.807970756341055, -8.796761044889843, -9.365280939565551, 3.2615586450960565, -5.634852994227994, 2.9343482414242295, 8.302067970723083,
114, 3.456916979791342, -8.798749771939429, -9.337001498710052, 3.6944973022297942, -4.977564780539398, 3.1030938673341675, 8.615404761904761,
115, 3.719626053227047, -8.785114809679557, -9.458486915951704, 3.5374782608695647, -5.336814798105121, 3.259048745372275, 8.561627327739235,
116, 4.089788457007332, -8.808745592562797, -9.37945465198587, 3.4986771809750534, -5.442983114555695, 3.1924980873062716, 8.346939199986414,
117, 4.655287356321839, -9.033929228647207, -9.41154487080721, 3.687687074829932, -5.341403388278389, 3.582274661508704, 8.318331048851363,
118, 3.763906340160145, -9.131140075420362, -9.352975765718757, 3.74846598928524, -4.99489247311828, 2.9110759718907326, 8.516215293134797,
119, 4.04351002795805, -9.155373250848644, -9.356646377223102, 4.092491210977145, -5.249272913466461, 2.7607417043929963, 8.682428199819505,
120, 3.321315155432803, -9.192710468484204, -9.352705565138043, 3.6705606060606066, -4.9242225829725825, 3.6024773545781956, 8.684777532713966,
121, 4.397458592552259, -9.28429194574348, -9.396679488831865, 3.748673469387755, -4.273989666081541, 3.539207183675269, 8.471446083156609,
122, 4.324285534528658, -9.293765470279471, -9.346234894584915, 4.250411062880998, -4.409166339308812, 3.1988640241821464, 8.687816808466621,
123, 3.698703708910947, -9.30881846474755, -9.43876833517604, 4.378558988812917, -4.411001112347053, 3.1513689010487917, 8.489170999671785,
124, 4.0663452129197, -9.396651760119251, -9.398919287615687, 3.5868589743589743, -4.664065106268496, 3.420749959966875, 8.66738629434279,
125, 3.8547045980797856, -9.366109723609723, -9.358050195085942, 4.221179350185958, -4.695784671369287, 3.599045183290707, 8.516363397059916,
126, 4.191006493506493, -9.391800153251767, -9.442610824214347, 4.331089743589744, -4.4206599832915625, 3.5644407879702, 8.578717360048149,
127, 4.64783225245839, -9.430560130751697, -9.423417435870105, 4.334728228880205, -4.00199309508153, 3.305123817359111, 8.600125509641703,
128, 4.019510768945478, -9.364439170594872, -9.37534790322086, 4.565448737311761, -4.379832393808563, 3.384520522955306, 8.604562393182045,
129, 3.4080237402271303, -9.34946584290985, -9.366856300794268, 4.081376385768615, -4.237246068432509, 3.60684474756086, 8.759133665530204,
130, 3.743127501429389, -9.34279841305649, -9.375446073205659, 3.5812876362816275, -4.222305832925672, 3.4139076759907363, 8.62378199303347,
131, 4.17024642024642, -9.426374791411288, -9.379394452227249, 3.885908550412035, -4.134714390264626, 3.1575619815878224, 8.680181284830914,
132, 4.738670946735463, -9.394375729690873, -9.392817575488326, 3.352428808732795, -3.973608859175317, 3.525107115107115, 8.663411503415372,
133, 3.7806988089882827, -9.346048986383682, -9.374576102402191, 4.262574858871512, -3.9662461353903424, 2.5982009125626147, 9.00119223855295,
134, 4.313683385579937, -9.304068623171993, -9.37430386836051, 4.052718642750696, -3.747129673914902, 3.788675879114706, 8.704888915212297,
