iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
29, -23036.87037037037, -22985.77981651376, -25364.9156626506, -20284.597014925374, -19176.902097902097, -19352.97142857143, -19850.489208633095, -20820.496124031008, -19376.713286713286, -20167.25874125874, -20472.941605839416, -20208.739130434784, -23216.60185185185, -18289.086419753086, -22033.51282051282, -24516.303030303032, -23002.654545454545, -21254.666666666668, -21875.813559322032, -21128.992, -21478.80991735537, -22209.931034482757, -20229.06818181818, -17072.975609756097, -16438.677595628415, -20182.932835820895, -18073.608695652172, -26980.883720930233, -28850.141025641027, -29006.932432432433, -28384.354430379746, -28809.893333333333, -16028.106976744186, -15905.413636363637, -16309.20792079208, -16249.655813953488, -15924.144186046511,
30, -23145.35185185185, -23601.742857142857, -21916.238095238095, -21001.25641025641, -20471.1935483871, -18120.037735849055, -18350.707006369426, -21532.406504065042, -19772.47857142857, -22187.916666666668, -20447.489208633095, -22647.98214285714, -22934.605504587154, -18292.245398773008, -21900.277310924368, -23756.495238095238, -22745.654545454545, -21402.34745762712, -21943.449152542373, -21679.30578512397, -21431.377049180326, -22068.0, -19265.808510638297, -16157.204419889502, -16388.16577540107, -20166.962686567163, -17400.48795180723, -26408.584269662922, -29287.986666666668, -28777.657894736843, -28322.175, -29137.584415584417, -15570.072072072073, -15653.660714285714, -15660.436018957345, -16096.46511627907, -15855.170506912442,
31, -23233.719626168226, -24453.70707070707, -20153.8671875, -24760.435294117648, -19130.92142857143, -23073.0412371134, -19970.060606060608, -20527.120300751878, -19875.09929078014, -20701.36567164179, -21272.875, -23168.256880733945, -23691.528301886792, -18360.820987654322, -22125.752136752137, -23913.346534653465, -22852.445454545454, -22028.470085470086, -21525.090909090908, -21941.21186440678, -21123.50406504065, -21610.133333333335, -19288.41134751773, -14770.727722772277, -16618.03867403315, -19529.797202797203, -18207.63924050633, -26441.85393258427, -28482.526315789473, -29463.11111111111, -28075.25, -29049.802631578947, -15614.285087719298, -15468.462222222222, -15968.105263157895, -16423.14691943128, -15723.842342342343,
32, -23180.084112149532, -24377.908163265307, -22310.819047619047, -21191.184210526317, -20098.868613138686, -23023.224489795917, -20769.48, -21317.682926829268, -19005.046357615895, -19834.6993006993, -22025.099173553717, -23233.719626168226, -22952.0, -18216.96894409938, -22407.28947368421, -23911.165048543688, -22718.0, -21723.722689075632, -21525.785123966944, -21714.758333333335, -21719.44827586207, -21223.524193548386, -18858.933774834437, -13997.308411214954, -16035.140703517587, -19312.482517482516, -17588.744047619046, -26599.34831460674, -29730.445945945947, -27820.86075949367, -27836.98780487805, -29527.76388888889, -15678.87445887446, -15533.548245614034, -16301.293532338308, -15787.497757847534, -15368.218340611355,
33, -23333.551401869157, -23953.019607843136, -21245.347107438018, -21027.716666666667, -19731.053846153845, -17621.20348837209, -22575.73831775701, -21067.055118110235, -19719.063380281692, -19694.527777777777, -24791.3125, -21894.775, -23376.103773584906, -18324.104938271605, -21825.17094017094, -23888.66346153846, -23061.763636363637, -21271.28, -21596.655737704918, -20638.434108527134, -21555.436974789915, -21060.133858267716, -18421.64238410596, -13892.375, -15770.266990291262, -19709.886524822694, -17383.668639053256, -27080.441860465115, -27664.585365853658, -29847.333333333332, -26998.070588235296, -28564.20779220779, -15424.692307692309, -15520.515837104072, -15885.742857142857, -15760.659192825113, -15302.344978165938,
34, -24390.434343434343, -23673.0, -22033.26785714286, -20820.52, -19241.47857142857, -17699.873563218393, -18997.97385620915, -21282.177419354837, -20634.115384615383, -18926.28846153846, -21721.409836065573, -20930.359375, -22692.765765765766, -18446.132075471698, -22226.094827586207, -24988.864583333332, -23005.32110091743, -20712.625, -20828.109375, -20968.25396825397, -22765.536363636365, -21796.8, -18681.496598639456, -13915.074074074075, -15454.107476635514, -18791.486666666668, -17881.880503144654, -26672.67816091954, -28485.15, -28571.41772151899, -27380.83908045977, -29388.066666666666, -15409.973214285714, -15472.80616740088, -15920.54066985646, -15557.621621621622, -15383.686956521738,
35, -23556.460784313724, -23414.961904761905, -22881.56, -21488.151785714286, -17043.397849462366, -19737.985294117647, -17654.191616766468, -20235.823529411766, -19393.551020408162, -19852.159722222223, -20327.437037037038, -18427.68711656442, -23063.045871559632, -18209.95625, -21833.89075630252, -24386.939393939392, -23276.03738317757, -20969.674603174604, -21993.66379310345, -21009.409448818897, -21782.34188034188, -21071.648, -18374.54054054054, -14739.515463917525, -15288.08878504673, -18652.098684210527, -16278.910052910052, -26285.582417582416, -29139.602564102563, -27403.4625, -27718.30487804878, -29005.17105263158, -15607.04932735426, -15280.658008658009, -16057.642857142857, -16220.563725490196, -15167.576923076924,
36, -22208.570175438595, -23565.384615384617, -20754.520661157025, -19990.810606060608, -19809.625899280574, -18084.873493975905, -18863.746575342466, -20973.1640625, -19217.154362416106, -19300.49342105263, -19616.58219178082, -19065.71523178808, -23749.75238095238, -18409.0, -22354.885964912282, -24014.35922330097, -22906.34862385321, -21528.39344262295, -22412.477876106193, -21902.93220338983, -22033.589743589742, -20824.60465116279, -18612.154362416106, -15761.324324324325, -15169.362385321101, -18551.849673202614, -16451.40322580645, -26804.116279069767, -29030.922077922078, -28483.7, -28174.822784810127, -30346.833333333332, -15563.83482142857, -15486.982222222223, -15832.68544600939, -15217.969162995594, -15182.63436123348,
37, -23135.77358490566, -22905.027777777777, -19069.627586206898, -20645.046875, -19631.133858267716, -17474.205714285716, -18706.605263157893, -20447.46212121212, -20018.905109489053, -19450.26712328767, -20018.823943661973, -19029.437086092716, -23733.10576923077, -18155.036809815952, -22247.44347826087, -23971.174757281555, -23211.242990654206, -20992.584, -21551.708333333332, -21367.762295081968, -21373.29661016949, -21097.12598425197, -18269.954838709677, -15499.61855670103, -15655.090476190477, -18098.714285714286, -16482.196721311477, -27861.817073170732, -27416.61176470588, -28813.6582278481, -28777.263157894737, -27913.164556962027, -14916.219409282701, -15388.259911894273, -16835.644670050762, -15727.558139534884, -15022.839826839827,
38, -23499.904761904763, -23789.28846153846, -19519.208633093524, -19529.767441860466, -18547.95625, -17670.852272727272, -17419.70348837209, -19626.049295774646, -19284.850340136054, -18676.938271604937, -18697.791411042945, -17493.888268156425, -23035.527777777777, -18249.79268292683, -22382.72807017544, -23754.384615384617, -23824.91346153846, -21742.791666666668, -21824.882352941175, -22131.21551724138, -21201.895161290322, -21289.624, -19030.979452054795, -15717.804232804232, -15365.72602739726, -17692.13017751479, -16123.005208333334, -27460.071428571428, -27596.963855421687, -28873.17948717949, -28040.666666666668, -29046.71794871795, -15303.835555555555, -15375.95154185022, -16564.12376237624, -15563.658986175114, -15164.2,
